Metric,5Fold_Mean,5Fold_Std,Mean_PlusMinus_Std,aggregation
DSC,0.748049553870348,0.0319999936530297,0.748049553870 ± 0.031999993653,equal-weight mean of five outer-fold case means; sample SD across five folds
IoU,0.6105347018715662,0.03690418753107878,0.610534701872 ± 0.036904187531,equal-weight mean of five outer-fold case means; sample SD across five folds
Sensitivity,0.7457227820309009,0.06103786484877203,0.745722782031 ± 0.061037864849,equal-weight mean of five outer-fold case means; sample SD across five folds
Specificity,0.9996889039704016,0.00020523102132397164,0.999688903970 ± 0.000205231021,equal-weight mean of five outer-fold case means; sample SD across five folds
HD95_mm,8.643581867636073,2.2692649598463497,8.643581867636 ± 2.269264959846,equal-weight mean of five outer-fold case means; sample SD across five folds
