fold,DSC,IoU,Sensitivity,Specificity,HD95_mm
0,0.7963595807391229,0.6678681358428153,0.8022940831725127,0.9997852580674228,5.883087770717483
1,0.757607013663786,0.6209318952794316,0.7515956022849458,0.9997372201613497,6.49035208202305
2,0.7247067025835624,0.5848811893228332,0.6694362101803238,0.9998659059980778,10.174689571003238
3,0.7145094797139018,0.573541404638575,0.6990145662367313,0.9997201540757608,10.706501821997625
4,0.7470649926513664,0.6054508842741759,0.8062734482799904,0.999335981549397,9.963278092438959
